""2020-05-05 12:04:07 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-05-05 12:04:07 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1328 ms
""2020-05-05 12:04:07 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2020-05-05 12:04:07 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.12.Final
""2020-05-05 12:04:07 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
""2020-05-05 12:04:07 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2020-05-05 12:04:08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2020-05-05 12:04:08 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2020-05-05 12:04:10 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2020-05-05 12:04:10 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2020-05-05 12:04:10 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2020-05-05 12:04:11 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-05-05 12:04:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9191 (http) with context path ''
""2020-05-05 12:04:11 [main] INFO  c.myproject.go.MyprojectApplication - Started MyprojectApplication in 5.581 seconds (JVM running for 6.323)
""2020-05-05 12:05:09 [http-nio-9191-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-05-05 12:05:09 [http-nio-9191-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2020-05-05 12:05:09 [http-nio-9191-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
""2020-05-05 12:05:09 [http-nio-9191-exec-1] ERROR o.a.c.c.C.[.[.[.[dispatcherServlet] - Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.transaction.UnexpectedRollbackException: Transaction silently rolled back because it has been marked as rollback-only] with root cause
